         n;      F_v1;      F_v2;      F_v3;      F_v4
         0;  0.000001;  0.000000;  0.000000;  0.000005
         1;  0.000000;  0.000000;  0.000000;  0.000013
         2;  0.000001;  0.000001;  0.000000;  0.000003
         3;  0.000001;  0.000001;  0.000001;  0.000001
         4;  0.000001;  0.000001;  0.000001;  0.000001
         5;  0.000001;  0.000000;  0.000000;  0.000001
         6;  0.000001;  0.000000;  0.000000;  0.000001
         7;  0.000001;  0.000000;  0.000000;  0.000001
         8;  0.000001;  0.000000;  0.000000;  0.000001
         9;  0.000001;  0.000000;  0.000000;  0.000001
        10;  0.000001;  0.000000;  0.000000;  0.000001
        11;  0.000001;  0.000000;  0.000000;  0.000001
        12;  0.000001;  0.000000;  0.000001;  0.000001
        13;  0.000002;  0.000000;  0.000001;  0.000001
        14;  0.000003;  0.000000;  0.000000;  0.000001
        15;  0.000003;  0.000000;  0.000000;  0.000001
        16;  0.000006;  0.000000;  0.000000;  0.000001
        17;  0.000008;  0.000000;  0.000000;  0.000001
        18;  0.000011;  0.000000;  0.000000;  0.000001
        19;  0.000017;  0.000000;  0.000000;  0.000001
        20;  0.000025;  0.000000;  0.000000;  0.000001
        21;  0.000039;  0.000000;  0.000000;  0.000001
        22;  0.000062;  0.000000;  0.000000;  0.000001
        23;  0.000099;  0.000000;  0.000000;  0.000001
        24;  0.000158;  0.000000;  0.000000;  0.000001
        25;  0.000254;  0.000000;  0.000000;  0.000001
        26;  0.000409;  0.000000;  0.000000;  0.000001
        27;  0.000666;  0.000000;  0.000000;  0.000001
        28;  0.001067;  0.000000;  0.000000;  0.000001
        29;  0.001721;  0.000000;  0.000000;  0.000001
        30;  0.002787;  0.000000;  0.000000;  0.000001
        31;  0.004974;  0.000001;  0.000000;  0.000001
        32;  0.007554;  0.000001;  0.000000;  0.000001
        33;  0.013301;  0.000001;  0.000001;  0.000002
        34;  0.020091;  0.000001;  0.000000;  0.000001
        35;  0.032382;  0.000001;  0.000000;  0.000001
        36;  0.050534;  0.000000;  0.000000;  0.000002
        37;  0.084265;  0.000001;  0.000000;  0.000001
        38;  0.134608;  0.000001;  0.000000;  0.000001
        39;  0.215569;  0.000001;  0.000000;  0.000001
        40;  0.345217;  0.000001;  0.000000;  0.000001
        41;  0.556868;  0.000001;  0.000000;  0.000001
        42;  0.913557;  0.000001;  0.000000;  0.000001
        43;  1.463940;  0.000001;  0.000001;  0.000002
        44;  2.438508;  0.000001;  0.000000;  0.000001
        45;  3.862643;  0.000001;  0.000001;  0.000002
        46;  6.195088;  0.000001;  0.000000;  0.000001
        47; 10.061605;  0.000001;  0.000000;  0.000001
        48; 10.061605;  0.000000;  0.000000;  0.000001
        49; 10.061605;  0.000000;  0.000000;  0.000000
        50; 10.061605;  0.000000;  0.000000;  0.000000
