Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.059;1160;[0,1,2];1160;[1,2,0]
4;   0.043;1179;[3,0,2,1];1417;[1,2,3,0]
5;   0.055;1400;[1,2,0,3,4];2232;[1,3,2,4,0]
6;   0.071;1409;[3,5,0,2,1,4];2385;[3,2,4,5,1,0]
7;   0.082;1437;[2,5,3,6,1,4,0];2664;[5,1,3,0,6,2,4]
8;   0.100;1440;[2,7,5,3,6,1,4,0];3022;[5,4,2,3,0,6,7,1]
9;   0.108;1565;[1,6,3,5,7,2,8,0,4];3398;[7,1,8,5,4,2,3,0,6]
10;   0.124;1577;[1,9,6,3,5,7,2,8,0,4];3892;[6,0,3,7,4,2,9,8,1,5]
11;   0.136;1592;[3,5,8,2,7,0,4,1,9,6,10];4033;[10,0,3,1,7,6,5,4,2,9,8]
12;   0.150;1686;[2,8,7,0,5,3,6,9,1,4,10,11];4352;[0,6,7,9,2,4,3,11,8,10,5,1]
13;   0.168;1833;[10,3,5,7,2,8,0,11,6,9,12,1,4];4747;[7,4,2,9,11,8,10,0,1,5,12,3,6]
14;   0.173;1903;[4,6,10,3,0,5,8,7,2,13,11,9,12,1];5214;[0,6,5,12,7,9,2,4,13,10,3,11,8,1]
15;   0.187;2006;[7,2,13,14,11,12,4,1,3,6,9,10,5,0,8];5580;[1,13,4,2,6,0,11,8,10,7,9,14,3,12,5]
16;   0.200;2272;[8,2,15,11,5,3,6,1,4,12,9,10,14,13,0,7];6160;[2,4,13,12,0,11,5,1,7,6,15,9,14,10,8,3]
17;   0.213;2514;[16,14,13,0,4,1,12,9,6,10,5,7,8,2,15,11,3];6375;[14,4,13,12,7,16,5,9,2,1,0,11,6,8,10,15,3]
18;   0.223;2692;[15,2,14,11,10,5,4,1,16,12,9,6,3,13,0,17,7,8];6926;[10,8,12,5,11,7,16,17,1,2,4,14,3,13,9,0,6,15]
