Tour;Occurrences
3379;33876
3319;35278
3338;36510
3112;41602
2900;35174
3066;41736
2981;38944
2709;23980
2728;25414
2740;25088
2952;38914
2668;21482
3210;40594
3181;40180
3422;31312
2943;37930
2984;39340
3434;30072
3308;37152
3277;38840
3349;35520
3111;41354
2858;32974
3065;42124
2766;27850
2706;23134
3207;40674
2896;35778
3062;41202
2850;32496
2705;22822
3206;39660
3011;40878
3096;41190
3146;40714
2724;25138
2970;39286
2809;29696
2939;37972
2498;11666
2614;18804
2843;31836
2537;13948
2402;7532
2371;6508
2727;25118
2452;10000
3384;33720
3239;39016
3342;35320
3147;41418
3020;40750
3070;41896
2902;36216
2630;18532
2733;25078
2745;25614
2872;34138
2588;16264
3131;40754
3101;40928
3258;38284
2894;35322
2936;37682
3270;38698
3313;37378
3198;40936
3355;36230
3148;41300
2979;39788
3071;41502
2826;31704
3072;41380
2827;32014
2957;38528
2347;5814
2463;10196
3224;39464
2860;33350
2615;18540
2585;16700
3195;40624
2861;33276
2699;23356
2670;21266
3309;37386
2830;31992
2829;31748
3279;39276
2839;32186
3114;41400
2838;32596
2998;40672
2389;6978
2504;11954
2947;36836
2641;19636
2465;10146
2434;9088
2832;31510
2557;15216
3159;40502
3251;38026
3075;41870
3282;38468
2884;35346
2769;28394
3116;40924
2841;32056
2718;23956
2603;16892
3085;41462
2925;37704
2799;29406
2768;27636
3281;38846
3043;41484
2959;38694
3166;40826
3032;40598
2972;38874
2991;39198
2765;27616
2553;14878
2719;24614
3168;40816
2915;36190
2927;37616
3139;42200
2855;33672
2881;34452
2852;33040
3093;41034
2655;20768
3105;40406
3035;41124
3107;41612
2869;34130
2616;18360
2823;31132
2953;37652
2893;35980
2878;33864
2652;20214
2654;20928
2820;30618
3055;40690
2997;40458
2982;39188
2995;40828
2922;37142
3016;39144
2956;39088
3014;40294
2715;24324
2790;28188
3029;41150
2742;25432
2817;30206
2576;16038
2503;11492
2744;25950
2521;13240
2584;16354
2599;16980
2385;7022
2312;4850
2555;15208
2283;3986
2404;7712
2416;7868
2346;5756
2268;3452
2343;5604
2482;11588
2494;11578
2422;8660
2492;11726
2495;11692
2344;5846
2208;2662
3100;41832
3040;41624
2996;40162
2697;23470
2621;18184
2964;39498
2828;31794
2784;27974
2859;33038
2935;37698
2886;35052
2857;33560
2962;38302
2483;11524
2587;16714
3037;41870
3008;40980
2977;37862
2738;25462
2558;14614
2901;35730
2741;25426
2775;27908
2534;13668
2398;7554
2639;19930
2851;33556
2848;31636
2892;35396
2923;37650
3028;40810
2685;22558
2651;20496
3025;40354
2986;39250
2955;38366
2714;24094
2612;18660
2819;30666
3373;33212
3298;36814
3074;41240
3240;38682
2862;33306
2804;29298
2789;29138
2802;29592
2729;24686
3305;37178
3245;37978
3303;35656
3004;40038
3079;41230
3318;35978
3158;41046
3233;39006
2992;39744
2919;35960
3160;40868
2779;27742
3280;38752
3054;40634
2969;39324
3135;41862
2844;31696
3200;41410
3005;40620
3090;40948
3140;41664
2684;22456
2930;37318
2899;35708
2458;9784
2574;15752
3017;39522
2711;24358
2545;14378
2626;19198
3457;28640
3312;37308
3302;37058
3194;40862
3244;38934
2941;37252
2883;34596
2873;33490
2888;34836
2801;29452
3297;37164
3034;41614
3189;40158
3242;39394
3237;38896
3397;33578
3187;39192
3119;40254
3324;35668
3030;40952
2637;19636
3331;36046
3068;41732
2762;27024
3271;39336
2907;37272
2847;31858
3416;31114
3117;41176
3276;38616
3221;39082
2835;31994
2676;21038
2712;23972
2635;19268
2425;8592
2394;7508
2905;36186
3144;41492
2934;37100
2633;19062
2628;18944
3009;40704
2703;23112
2462;10006
2978;38736
2708;23770
2548;14634
3064;41592
2818;30686
3059;41388
2400;7274
2342;5764
2478;10920
2264;3456
2191;2250
2513;12478
2241;3106
2362;6102
2374;6720
2304;4308
2231;2662
2306;4628
2445;9522
2309;4724
2246;2988
2457;10170
2433;8814
2300;4224
2370;6282
2373;6550
2222;2608
2086;1018
3013;40418
2945;36890
2960;38488
2800;29386
2840;31790
2645;19798
2732;24680
2782;28392
2971;39222
3058;40326
2918;36154
2863;34084
2581;16302
2786;28254
2649;20368
2704;22624
2916;35722
2771;27570
2874;34178
2679;21606
2552;15000
2602;17186
3047;39818
2890;34510
2735;25378
2528;13414
2570;15256
2904;35770
2949;37346
2834;31482
2707;23184
2606;17400
2974;38738
2610;18274
2756;26868
2392;7186
2760;27398
2730;24988
2831;31560
2497;11750
2813;29822
2648;19836
2547;14158
2477;10978
2682;22342
2608;17892
2700;22846
2691;22460
2783;28504
2914;35470
2646;19522
2759;27102
2987;39564
2856;32600
2966;39270
2942;37206
2811;29680
2814;29860
2696;23142
3253;37908
3209;41150
2910;36332
3073;41502
2643;19672
2674;21094
2750;27526
2539;13920
3212;40404
3183;40250
3288;36506
2913;36662
3363;33260
3179;40408
3283;38504
2909;36318
3340;36048
3041;42016
2961;37878
2770;27754
3339;36234
3076;41016
3156;40830
2726;25236
2806;29142
2427;8776
2543;13824
2976;37750
2467;10070
2431;8522
2590;16960
3203;40220
2940;37710
2944;36762
3067;42078
2695;23636
2559;15042
2594;17082
2669;21570
2665;21032
2454;9974
3128;42056
3098;42334
3124;41892
2865;33404
3199;41366
3174;40752
2692;22926
2938;37750
2693;22868
2213;2554
2329;4868
3226;39712
2617;18540
3197;41166
2667;21592
3306;36872
2767;28266
2318;4906
2368;6414
2632;18818
3321;35902
3352;35696
3118;40124
2469;10144
3082;41460
3351;36280
2898;35688
3241;39536
3192;40744
2951;38206
2815;29472
3056;40608
2624;19098
2658;20894
2791;29642
3171;41156
2933;36788
3273;38632
3268;39234
2928;37240
2549;14668
2824;31524
3060;40448
2662;21246
2968;39386
2937;38192
2421;8478
2837;32588
2531;13680
2321;4982
2290;4176
2526;13844
3243;39206
3238;39830
3356;34804
3015;40254
3220;38868
2761;27084
2625;19232
2743;25484
2871;34182
3141;42186
3272;38670
3044;41020
2931;37180
3269;39336
3387;34042
3274;38762
3049;40506
2836;31922
3106;41900
2572;15566
2810;29378
3344;36018
3006;41126
2975;37924
3428;30724
2833;31434
3108;42170
2912;35680
2459;9974
2535;13794
2627;19016
3153;41356
3069;42346
2763;27218
2522;13388
2842;32218
3033;40528
3299;37380
3027;40270
2689;22814
2701;22630
2629;19036
3142;41852
3383;33502
3395;33740
3310;37128
3026;40974
3087;40780
3588;20082
3362;34258
3443;30202
3231;38414
3086;41256
3587;20418
3392;32880
3477;27948
3527;24556
3190;39046
3320;35746
2879;34014
2752;27304
3261;37862
2989;39564
2821;31088
2664;21416
2507;12660
3050;40618
3177;40744
3232;38850
2990;39718
3113;41220
3359;34392
2634;18908
3511;25842
3482;28982
3596;18900
3566;21548
3126;41814
3401;33092
3125;42566
3285;37800
3109;41720
3436;29880
3528;23632
3559;21608
3161;40790
3046;40158
3393;32862
2880;34408
3202;40306
3045;40838
3558;22866
3236;40132
3413;32390
3353;36062
3372;34174
2846;31568
2774;27492
3380;34132
3343;36664
3292;36556
3585;20724
3517;25142
3300;36630
3367;33970
3525;24334
3259;37172
3228;39338
2757;26558
2622;18738
2661;20984
2946;36606
2749;26654
3191;40014
2716;24222
3335;36016
3402;32332
3394;32782
2864;33320
3661;14674
3123;41836
3094;42014
3632;16934
3102;40824
3669;14144
3640;16724
3347;36260
3435;29992
2897;35174
3325;35262
3524;24984
3317;36370
3555;23922
3229;39240
3358;34258
3262;37694
3024;40840
3516;25514
2812;30128
3165;39908
3097;41048
2687;22696
2619;18406
2746;25834
2754;27352
3120;40638
3110;41406
2983;39050
2618;18432
2924;37572
3217;38710
3186;40196
3294;37048
2988;39132
2853;33630
2822;31570
3178;40902
2903;36092
3127;42084
2932;37356
2808;29788
2753;27504
2911;36462
3164;40780
3104;41614
3023;40476
2891;34448
2722;24922
2541;13984
2720;24314
2419;8428
2604;16854
2533;13342
2527;13356
2450;9834
2577;16182
2487;11320
2764;27598
2508;12134
2323;4984
2292;4372
2500;11702
3149;41254
3081;41120
2882;34764
2678;21790
2623;18840
2980;39104
3184;40570
2713;23906
3196;40976
3078;41500
3039;41760
2636;19406
3590;19512
3364;33816
3287;37392
3445;29882
3418;31938
3589;19806
3471;29768
3521;24292
3377;32974
3322;35516
3182;39630
3152;40478
3255;38562
2736;24990
2694;23374
3052;40970
3022;40892
3061;41532
3345;36272
3293;37252
2929;37756
3505;26192
3089;40904
3476;27912
3136;41832
3582;20766
3552;23760
3304;36814
2906;36050
3430;30204
3522;24986
3354;35654
3561;21822
3348;35324
