Brute Force	Number of cities (n)	Execution time (s)	Melhor distância	minPath	Pior distância	maxPath	Random Permutations	Number of cities (n)	Execution time (s)	minLength	minPath	maxLength	maxPath	Dynamic Programming	Number of cities (n)	Execution time (s)	minLength	minPath	maxLength	maxPath
	3	0,0001	883	[0,1,2]	883	[0,2,1]		3	0,712	883	[1,0,2]	883	[1,2,0]		3	0,018	883	[0,1,2]	883	[0,1,2]
	4	0,0001	885	[0,1,3,2]	1402	[0,2,1,3]		4	0,923	885	[3,1,0,2]	1402	[3,0,2,1]		4	0,014	885	[0,1,3,2]	1402	[0,2,1,3]
	5	0,0001	1085	[0,1,4,3,2]	1633	[0,3,1,2,4]		5	1,245	1085	[2,3,4,1,0]	1633	[0,3,1,2,4]		5	0,011	1085	[0,1,4,3,2]	1633	[0,3,1,2,4]
	6	0,0001	1102	[0,1,2,3,4,5]	1836	[0,3,5,2,1,4]		6	1,466	1102	[1,2,3,4,5,0]	1836	[3,0,4,1,2,5]		6	0,012	1102	[0,1,2,3,4,5]	1836	[0,3,5,2,1,4]
	7	0,0001	1101	[0,1,3,2,6,4,5]	2156	[0,3,5,2,4,1,6]		7	1,715	1101	[4,6,2,3,1,0,5]	2156	[6,0,3,5,2,4,1]		7	0,011	1101	[0,1,3,2,6,4,5]	2156	[0,3,5,2,4,1,6]
	8	0,0001	1367	[0,1,7,4,5,6,3,2]	2680	[0,4,1,2,5,3,7,6]		8	1,952	1367	[6,5,4,7,1,0,3,2]	2680	[1,2,5,3,7,6,0,4]		8	0,011	1367	[0,1,7,4,5,6,2,3]	2680	[0,4,1,2,5,3,7,6]
	9	0,001	1436	[0,1,7,5,4,8,2,3,6]	3312	[0,6,7,3,5,2,4,1,8]		9	2,195	1436	[7,5,4,8,2,3,6,0,1]	3312	[0,6,7,3,5,2,4,1,8]		9	0,014	1436	[0,1,7,5,4,8,2,3,6]	3312	[0,6,7,3,5,2,4,1,8]
	10	0,01	1431	[0,1,9,7,5,4,8,2,3,6]	3663	[0,7,6,9,3,5,2,4,1,8]		10	2,494	1431	[8,2,3,6,0,1,9,7,5,4]	3663	[1,4,2,5,3,9,6,7,0,8]		10	0,014	1431	[0,1,9,7,5,4,8,2,3,6]	3663	[0,7,6,9,3,5,2,4,1,8]
	11	0,061	1447	[0,1,9,7,5,4,8,2,3,6,10]	3942	[0,3,5,2,9,6,7,10,4,1,8]		11	2,717	1447	[6,3,2,8,4,5,7,9,1,0,10]	3942	[7,6,9,2,5,3,0,8,1,4,10]		11	0,014	1447	[0,1,9,7,5,4,8,2,3,6,10]	3942	[0,3,5,2,9,6,7,10,4,1,8]
	12	0,669	1447	[0,1,9,7,5,4,11,8,2,3,6,10]	4381	[0,3,5,2,4,10,7,6,9,8,1,11]		12	2,983	1447	[7,5,4,11,8,2,3,6,10,0,1,9]	4381	[2,5,3,9,8,1,11,0,6,7,10,4]		12	0,012	1447	[0,1,9,7,5,4,11,8,2,3,6,10]	4381	[0,3,5,2,4,10,7,6,9,8,1,11]
	13	7,893	1573	[0,1,9,7,5,4,11,8,12,2,3,6,10]	5003	[0,8,1,12,9,6,7,3,5,2,4,10,11]		13	3,185	1600	[2,12,8,11,4,7,9,5,0,1,10,6,3]	5003	[7,6,9,8,1,12,0,11,10,4,2,5,3]		13	0,017	1573	[0,1,9,7,5,4,11,8,12,2,3,6,10]	5003	[0,8,1,12,9,6,7,3,5,2,4,10,11]
	14	106,519	1559	[0,1,9,7,4,11,8,12,2,3,6,10,13,5]	5136	[0,3,5,2,4,10,7,6,9,8,1,12,13,11]		14	3,498	1756	[4,7,9,1,0,5,13,6,10,2,3,12,8,11]	5131	[11,13,8,1,12,9,2,4,10,5,3,7,6,0]		14	0,019	1559	[0,1,9,7,4,11,8,12,2,3,6,10,13,5]	5136	[0,3,5,2,4,10,7,6,9,8,1,12,13,11]
	15	2103,848	1575	[0,1,14,9,7,4,11,8,12,2,3,6,10,13,5]	5556	[0,8,1,12,14,6,9,3,5,2,4,10,7,13,11]		15	3,73	1811	[11,12,8,2,3,10,5,4,7,9,14,1,0,13,6]	5522	[2,5,6,7,13,11,14,8,0,12,1,3,4,10,9]		15	0,033	1575	[0,1,14,9,7,4,11,8,12,2,3,6,10,13,5]	5556	[0,8,1,12,14,6,9,3,5,2,4,10,7,13,11]
	16	33934,154	1828	[0,1,14,9,7,4,11,8,12,15,2,3,6,10,13,5]	6475	[0,3,5,15,9,2,4,10,7,6,14,8,1,12,13,11]		16	3,946	2170	[9,4,5,0,13,11,15,12,8,2,3,6,10,1,14,7]	6430	[12,0,8,1,3,4,10,7,6,5,15,9,2,14,11,13]		16	0,066	1828	[0,1,14,9,7,4,11,8,12,15,2,3,6,10,13,5]	6475	[0,3,5,15,9,2,4,10,7,6,14,8,1,12,13,11]
								17	4,264	2376	[13,9,7,5,14,1,0,10,11,8,12,15,2,3,6,16,4]	6656	[12,0,8,14,15,9,10,4,2,5,3,7,6,11,13,16,1]		17	0,128	1832	[0,1,14,9,7,4,16,11,8,12,15,2,3,6,10,13,5]	6798	[0,8,1,16,10,4,2,5,15,9,3,7,6,14,11,13,12]
								18	4,491	2521	[13,10,6,15,12,2,3,8,11,4,5,14,17,1,0,9,7,16]	6969	[2,0,8,14,3,17,16,1,12,9,15,5,11,13,10,4,6,7]		18	0,266	1839	[0,5,13,10,6,3,2,15,12,8,11,16,4,7,9,14,1,17]	7122	[0,3,5,15,9,2,4,10,7,6,14,8,1,16,13,11,17,12]
