Random Permutations	Number of cities (n)	Execution time (s)	Melhor distância	minPath	Pior distância	maxPath	Brute Force	Number of cities (n)	Execution time (s)	minLength	minPath                 	maxLength	maxPath	Dynamic Programming	Number of cities (n)	Execution time (s)	minLength	minPath	maxLength	maxPath
1E-06	3	0,698	683	[0,1,2]	683	[1,2,0]		3	0,0001	683	[0,1,2]	683	[0,2,1]		3	0,034	683	[0,1,2]	683	[0,1,2]
1E-05	4	0,921	862	[2,0,1,3]	1335	[3,0,2,1]		4	0,0001	862	[0,1,3,2]	1335	[0,2,1,3]		4	0,013	862	[0,1,3,2]	1335	[0,2,1,3]
0,0001	5	1,181	980	[3,1,0,4,2]	1497	[0,3,4,1,2]		5	0,0001	980	[0,1,3,2,4]	1497	[0,2,1,4,3]		5	0,015	980	[0,1,3,2,4]	1497	[0,2,1,4,3]
0,001	6	1,532	1125	[3,2,4,5,0,1]	1794	[5,1,2,0,4,3]		6	0,0001	1125	[0,1,3,2,4,5]	1794	[0,2,1,5,3,4]		6	0,015	1125	[0,1,3,2,4,5]	1794	[0,2,1,5,3,4]
0,01	7	1,709	1125	[1,6,3,2,4,5,0]	2335	[4,3,5,1,2,0,6]		7	0,0001	1125	[0,1,6,3,2,4,5]	2335	[0,2,1,5,3,4,6]		7	0,016	1125	[0,1,6,3,2,4,5]	2335	[0,2,1,5,3,4,6]
0,1	8	1,989	1137	[4,2,7,3,6,1,0,5]	2909	[4,6,0,2,1,7,5,3]		8	0,0001	1137	[0,1,6,3,7,2,4,5]	2909	[0,2,1,7,5,3,4,6]		8	0,012	1137	[0,1,6,3,7,2,4,5]	2909	[0,2,1,7,5,3,4,6]
1	9	2,237	1153	[0,1,6,3,7,2,8,4,5]	2940	[6,4,3,5,7,1,2,0,8]		9	0,001	1153	[0,1,6,3,7,2,8,4,5]	2940	[0,2,1,7,5,3,4,6,8]		9	0,015	1153	[0,1,6,3,7,2,8,4,5]	2940	[0,2,1,7,5,3,4,6,8]
10	10	2,531	1279	[4,5,0,1,6,3,9,7,2,8]	3549	[3,0,2,1,7,5,9,4,6,8]		10	0,006	1279	[0,1,6,3,9,7,2,8,4,5]	3549	[0,2,1,7,5,3,4,6,8,9]		10	0,012	1279	[0,1,6,3,9,7,2,8,4,5]	3549	[0,2,1,7,5,3,4,6,8,9]
100	11	2,732	1336	[7,2,8,0,4,5,10,1,6,3,9]	4107	[3,0,2,10,7,1,8,6,4,9,5]		11	0,065	1336	[0,4,5,10,1,6,3,9,7,2,8]	4107	[0,2,1,7,10,8,6,4,9,5,3]		11	0,013	1336	[0,4,5,10,1,6,3,9,7,2,8]	4107	[0,2,1,7,10,8,6,4,3,5,9]
1000	12	3,013	1333	[5,10,1,11,6,3,9,7,2,8,0,4]	4508	[2,1,7,11,8,0,6,4,3,5,9,10]		12	0,666	1333	[0,4,5,10,1,11,6,3,9,7,2,8]	4508	[0,2,1,7,11,8,10,3,5,9,4,6]		12	0,013	1333	[0,4,5,10,1,11,6,3,9,7,2,8]	4508	[0,2,1,7,11,8,10,3,5,9,4,6]
10000	13	3,214	1568	[9,7,2,8,0,4,5,10,12,1,11,6,3]	5044	[2,12,8,11,4,6,0,9,5,3,10,7,1]		13	7,956	1568	[0,4,5,10,12,1,11,6,3,9,7,2,8]	5044	[0,3,5,9,10,7,1,2,12,8,11,4,6]		13	0,018	1568	[0,4,5,10,12,1,11,6,3,9,7,2,8]	5044	[0,3,5,9,10,7,1,2,12,8,11,4,6]
	14	3,473	1648	[10,12,5,4,0,8,7,2,9,3,6,13,11,1]	5419	[3,4,13,5,9,1,2,12,7,11,8,10,6,0]		14	116,675	1572	[0,4,5,10,12,1,11,13,6,3,9,7,2,8]	5461	[0,3,1,2,12,8,11,7,10,9,5,13,4,6]		14	0,019	1572	[0,4,5,10,12,1,11,13,6,3,9,7,2,8]	5461	[0,3,1,2,12,8,11,7,10,9,5,13,4,6]
	15	4,055	1816	[6,9,3,2,7,14,8,0,5,12,10,4,1,11,13]	5646	[8,13,5,6,0,3,4,9,1,7,10,2,12,14,11]		15	2009,91	1584	[0,4,5,10,12,1,11,13,6,3,9,7,2,14,8]	5680	[0,3,5,13,8,11,7,1,2,12,14,10,9,4,6]		15	0,033	1584	[0,4,5,10,12,1,11,13,6,3,9,7,2,14,8]	5680	[0,3,5,13,8,11,7,1,2,12,14,10,9,4,6]
	16	5,228	1943	[10,12,1,11,15,8,13,6,3,9,2,7,14,0,4,5]	5707	[5,6,15,9,1,7,12,8,11,14,10,3,0,2,4,13]		16	33068,312	1570	[0,1,15,8,14,2,7,9,3,6,13,11,12,10,5,4]	5783	[0,2,1,7,11,8,12,14,10,3,4,6,15,9,5,13]		16	0,062	1570	[0,1,15,8,14,2,7,9,3,6,13,11,12,10,5,4]	5783	[0,2,1,7,11,8,12,14,10,3,4,6,15,9,5,13]
	17	4,225	2331	[13,15,12,10,1,11,0,4,5,8,14,7,2,16,9,3,6]	6523	[8,1,16,4,6,0,3,10,2,13,5,9,15,14,12,7,11]									17	0,124	1823	[0,1,15,8,14,2,7,16,9,3,6,13,11,12,10,5,4]	6683	[0,2,12,14,10,16,1,7,11,8,13,5,3,4,6,15,9]
	18	4,489	2424	[17,5,1,11,12,10,0,13,6,3,7,2,9,16,14,8,15,4]	7004	[14,15,6,0,13,5,3,4,9,1,2,10,16,12,7,11,8,17]									18	0,27	1839	[0,1,15,8,14,2,7,16,9,3,6,13,11,12,10,17,5,4]	7122	[0,2,1,16,10,7,11,8,12,14,17,3,4,6,15,9,5,13]
