Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.000;883;[0,1,2];883;[0,2,1]
4;   0.000;885;[0,1,3,2];1402;[0,2,1,3]
5;   0.000;1085;[0,1,4,3,2];1633;[0,3,1,2,4]
6;   0.000;1102;[0,1,2,3,4,5];1836;[0,3,5,2,1,4]
7;   0.000;1101;[0,1,3,2,6,4,5];2156;[0,3,5,2,4,1,6]
8;   0.000;1367;[0,1,7,4,5,6,3,2];2680;[0,4,1,2,5,3,7,6]
9;   0.001;1436;[0,1,7,5,4,8,2,3,6];3312;[0,6,7,3,5,2,4,1,8]
10;   0.007;1431;[0,1,9,7,5,4,8,2,3,6];3663;[0,7,6,9,3,5,2,4,1,8]
11;   0.053;1447;[0,1,9,7,5,4,8,2,3,6,10];3942;[0,3,5,2,9,6,7,10,4,1,8]
12;   0.645;1447;[0,1,9,7,5,4,11,8,2,3,6,10];4381;[0,3,5,2,4,10,7,6,9,8,1,11]
13;   8.288;1573;[0,1,9,7,5,4,11,8,12,2,3,6,10];5003;[0,8,1,12,9,6,7,3,5,2,4,10,11]
14; 154.087;1559;[0,1,9,7,4,11,8,12,2,3,6,10,13,5];5136;[0,3,5,2,4,10,7,6,9,8,1,12,13,11]
