Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.071;883;[1,0,2];883;[1,2,0]
4;   0.047;885;[3,1,0,2];1402;[2,1,3,0]
5;   0.063;1085;[2,3,4,1,0];1633;[2,4,0,3,1]
6;   0.075;1102;[1,0,5,4,3,2];1836;[0,3,5,2,1,4]
7;   0.088;1101;[0,5,4,6,2,3,1];2156;[0,3,5,2,4,1,6]
8;   0.099;1367;[7,1,0,3,2,6,5,4];2680;[3,5,2,1,4,0,6,7]
9;   0.112;1436;[3,6,0,1,7,5,4,8,2];3312;[8,1,4,2,5,3,7,6,0]
10;   0.129;1431;[2,3,6,0,1,9,7,5,4,8];3663;[9,3,5,2,4,1,8,0,7,6]
11;   0.140;1455;[8,4,5,9,7,1,0,10,6,3,2];3942;[2,5,3,0,8,1,4,10,7,6,9]
12;   0.155;1509;[4,11,8,2,3,6,10,0,1,5,9,7];4374;[3,7,6,5,2,4,10,9,8,1,11,0]
13;   0.166;1777;[6,8,12,3,2,11,4,5,7,9,1,0,10];4954;[4,10,11,0,12,5,8,1,6,7,3,9,2]
14;   0.183;1915;[13,3,12,2,8,11,6,10,5,4,7,9,1,0];5110;[6,0,8,13,11,1,12,9,2,5,3,7,10,4]
15;   0.193;2030;[9,5,11,12,8,6,2,3,10,13,0,4,7,1,14];5444;[10,7,3,1,11,14,8,0,12,5,6,9,13,2,4]
16;   0.207;2425;[12,8,3,6,11,4,7,14,1,0,9,5,10,13,2,15];6323;[1,8,5,6,14,12,13,2,9,15,7,10,4,3,0,11]
17;   0.214;2494;[10,1,14,5,0,9,7,4,16,6,3,2,15,12,11,8,13];6621;[8,0,12,13,3,1,16,10,4,2,5,15,9,11,14,6,7]
18;   0.230;2713;[11,10,6,3,13,9,7,0,17,14,1,5,4,16,15,12,8,2];6786;[10,16,1,3,9,15,0,8,17,2,14,11,5,6,7,13,12,4]
