Tour;Occurrences
3759;20979
3833;16992
3717;22948
3773;20303
3699;24690
4056;7279
4032;8122
3667;26233
4130;4909
3992;9302
3677;25517
4158;4152
4098;5851
4164;3848
3693;24497
4106;5665
3643;27281
4180;3461
4088;6087
4148;4242
3607;28927
3681;24996
3617;28730
3673;25807
3639;27436
3657;26543
4242;2242
4282;1687
4222;2633
3781;20141
3971;10517
4140;4528
4166;3821
3739;22431
4204;3091
4236;2367
4070;6836
3915;13166
3855;16161
4200;3082
3841;16928
4186;3483
4006;9065
4014;8798
3462;34518
3502;32952
4025;8442
3584;29997
3700;24715
3869;15302
3696;24378
4021;8524
3656;26503
3672;25872
4085;6190
3636;27292
3478;34166
3560;30959
3177;35658
3131;34681
3530;31901
3594;29252
3321;37202
3227;36665
3774;20225
3536;32117
3795;19351
3621;28149
3653;27019
4010;8905
3547;31476
3629;28350
3741;22154
3250;36726
3296;37011
4094;5793
3779;19906
3871;15229
3811;18374
3755;21203
3426;35576
3589;29643
3737;22253
3627;27995
3921;12875
3950;11335
4295;1505
3894;13894
4239;2407
3652;26644
3660;26372
3908;13773
3670;26149
3361;36896
3455;34597
3840;17190
3904;13703
3311;37324
3441;35269
3986;9909
3692;24831
3942;11776
3794;19294
3654;26847
4067;6908
3614;28367
4151;4265
3710;23620
3770;20435
4141;4443
4081;6299
4007;8967
3870;15099
3846;16462
3481;33687
3531;32317
3944;11705
3600;29205
4087;6225
3665;26124
4078;6729
3615;28575
4152;4213
4060;6948
4120;5113
3421;35742
3495;33750
3540;32138
3596;29634
3611;28526
3510;33097
3646;27242
3689;24938
3631;27558
3394;35788
3604;29315
3439;35331
3452;34795
3468;34449
3573;30790
3379;36736
3497;33456
3396;36320
3879;14682
3968;10692
3912;13069
3943;11865
3854;15859
3754;21389
3694;24781
3329;36897
3807;18457
3859;15578
3523;32472
3919;12709
3501;33357
3515;33107
3964;10842
3544;31729
4018;8706
3953;11267
3835;17143
4045;7752
3820;17532
3777;19895
3793;19508
3690;24500
3354;36787
3511;33032
3978;10119
3714;23244
3399;36493
3985;9987
3925;12669
4020;8485
3533;32245
3375;36261
3356;36806
3998;9346
3826;17471
4004;9284
3810;18300
3783;20053
3911;12873
3962;10927
3929;12542
3994;9605
3520;32753
3355;36748
3804;18674
3341;36815
3875;14724
3842;17004
3365;36884
3372;36805
3785;19572
3922;12720
3982;10035
3269;36896
3358;36933
3463;34665
3494;33560
3537;32018
3479;34053
3294;36798
3504;33284
3339;36898
3529;32127
3352;36694
3368;36547
3513;32848
3319;37240
3334;36787
3437;35739
3336;36899
3989;9679
3981;10054
3947;11697
3965;10682
3884;14571
3443;35111
3633;27688
3802;18416
3562;30898
4027;8443
4059;7046
3893;14204
3738;22415
3767;20573
4112;5217
3753;21487
3918;12802
3926;12458
3806;18372
3648;26800
3817;18040
4165;3982
4254;2025
4129;4861
4138;4592
4080;6320
4194;3122
4109;5587
3951;11428
3637;27603
3996;9824
4063;6848
4268;1823
3769;20530
4016;8673
3888;14175
3461;34593
3933;12148
3771;20403
3730;22651
3416;35797
4053;7319
4036;7940
3881;14616
4091;6035
4208;2934
3931;12399
4212;2881
3765;20737
3946;11511
3534;32268
3984;10083
3882;14522
3890;14285
3517;32515
3764;21192
4123;5038
3405;35860
3563;31111
4000;9345
3676;25591
3701;24324
3728;22841
3828;17213
3829;17545
3862;15614
4314;1307
3889;14110
3954;11248
4367;755
3822;17927
4243;2269
4218;2742
4267;1966
3800;18849
3780;19836
4229;2476
3809;18611
4283;1662
4251;2035
3695;24784
3784;19870
3628;28127
3659;26518
3668;26246
3610;28736
4064;6909
3750;21629
4307;1269
4191;3270
3808;18553
4055;7210
4035;8080
4102;5752
3470;34663
4033;7990
3592;29939
3708;24047
3877;14958
3570;30618
3895;14153
3546;31900
3959;11113
3608;29291
3450;35274
3532;32032
3149;35367
3103;33377
3581;30450
3308;37191
3214;36101
3761;20868
4096;5864
3782;20260
3760;20929
3675;25257
4167;3720
3746;21563
3697;24310
3297;37048
3343;37025
3858;15618
4247;2173
3317;37282
3749;21732
3742;22349
3907;13361
4154;4097
3813;18040
4381;629
3702;24234
3680;25420
3335;36850
3429;35612
3716;23279
3364;36575
3360;36722
3845;16508
3834;17143
3932;12182
3939;11810
3763;20843
3727;22828
3751;21477
3961;10843
3736;22396
3709;23756
4209;2890
4184;3418
3995;9625
3816;18063
4111;5415
3796;19060
4382;598
4322;1165
4417;411
3930;12208
4259;2045
4279;1662
4107;5618
3711;23298
3638;27775
3535;32200
3551;31911
4397;549
4312;1325
3874;15318
4132;4657
4125;4815
3970;10549
3622;28272
4355;876
4089;6092
3722;23130
4058;7015
3744;21811
3856;15982
3831;17260
4252;2047
3916;13008
3778;20072
4245;2185
3508;32554
3448;34892
3176;35335
3130;34498
