Number of cities (n);Execution time (s);minLength;minPath;maxLength;maxPath
3;   0.000;683;[0,1,2];683;[0,2,1]
4;   0.000;862;[0,1,3,2];1335;[0,2,1,3]
5;   0.000;980;[0,1,3,2,4];1497;[0,2,1,4,3]
6;   0.000;1125;[0,1,3,2,4,5];1794;[0,2,1,5,3,4]
7;   0.000;1125;[0,1,6,3,2,4,5];2335;[0,2,1,5,3,4,6]
8;   0.000;1137;[0,1,6,3,7,2,4,5];2909;[0,2,1,7,5,3,4,6]
9;   0.000;1153;[0,1,6,3,7,2,8,4,5];2940;[0,2,1,7,5,3,4,6,8]
10;   0.007;1279;[0,1,6,3,9,7,2,8,4,5];3549;[0,2,1,7,5,3,4,6,8,9]
11;   0.068;1336;[0,4,5,10,1,6,3,9,7,2,8];4107;[0,2,1,7,10,8,6,4,9,5,3]
12;   0.668;1333;[0,4,5,10,1,11,6,3,9,7,2,8];4508;[0,2,1,7,11,8,10,3,5,9,4,6]
13;   7.923;1568;[0,4,5,10,12,1,11,6,3,9,7,2,8];5044;[0,3,5,9,10,7,1,2,12,8,11,4,6]
14; 106.306;1572;[0,4,5,10,12,1,11,13,6,3,9,7,2,8];5461;[0,3,1,2,12,8,11,7,10,9,5,13,4,6]
